Year,Student_ID,Gender,State,Assignment,Midterm1,Midterm2,Quiz,Total CourseWorkmarks,Final Marks,Total Marks,Grade
2017,139,Female,Terengganu,20,6,9,5,40,24,64,B
2015,140,Male,Perlis,18,5,4,2,29,40,69,B
2013,141,Male,Terengganu,14,7,9,5,35,23,58,C
2012,142,Male,Kelantan,14,3,3,2,22,25,47,F
2018,143,Female,Perak,20,10,10,3,43,24,67,B
2016,144,Male,Malacca,15,6,6,4,31,29,60,B
2012,145,Female,Perlis,20,3,5,5,33,26,59,C
2017,146,Male,Negeri Sembilan,13,4,8,1,26,37,63,B
2018,147,Female,Perlis,18,8,10,1,37,24,61,B
2013,148,Female,Sabah,13,8,5,4,30,39,69,B
2013,149,Male,Selangor,15,9,5,2,31,23,54,C
2018,150,Male,Kelantan,13,4,10,3,30,24,54,C
2014,151,Male,Perak,14,8,5,5,32,29,61,B
2013,152,Male,Johor,21,10,3,1,35,25,60,B
2014,153,Female,Perlis,18,10,10,4,42,28,70,B
2013,154,Male,Sabah,17,9,8,3,37,29,66,B
2016,155,Male,Kelantan,21,6,5,5,37,23,60,B
2019,156,Female,Selangor,18,7,5,3,33,33,66,B
2013,157,Male,Terengganu,16,7,9,1,33,40,73,B
2014,158,Female,Negeri Sembilan,19,3,8,3,33,40,73,B
2015,159,Female,Terengganu,21,4,4,2,31,33,64,B
2015,160,Female,Negeri Sembilan,14,9,3,2,28,33,61,B
2016,161,Male,Penang,18,4,5,2,29,33,62,B
2015,162,Male,Selangor,16,10,5,4,35,34,69,B
2019,163,Female,Kedah,21,7,6,1,35,31,66,B
2018,164,Female,Perak,17,4,6,5,32,34,66,B
2017,165,Female,Terengganu,13,4,4,3,24,39,63,B
2013,166,Male,Negeri Sembilan,14,9,4,2,29,39,68,B
2016,167,Female,Negeri Sembilan,15,4,3,2,24,34,58,C
2018,168,Female,Pahang,21,10,4,4,39,30,69,B
2018,169,Male,Negeri Sembilan,20,10,4,3,37,31,68,B
2019,170,Male,Terengganu,21,10,5,4,40,28,68,B
2017,171,Female,Penang,21,4,10,4,39,28,67,B
2019,172,Female,Johor,14,10,3,2,29,23,52,C
2014,173,Female,Pahang,17,4,8,1,30,35,65,B
2013,174,Female,Selangor,14,3,5,3,25,23,48,F
2019,175,Female,Johor,18,10,4,5,37,37,74,B
2016,176,Male,Johor,19,10,7,4,40,35,75,B
2014,177,Female,Malacca,20,8,8,3,39,35,74,B
2019,178,Male,Terengganu,16,8,5,3,32,24,56,C
2015,179,Female,Perak,14,10,9,4,37,35,72,B
2012,180,Female,Penang,14,3,5,1,23,35,58,C
2013,181,Female,Sarawak,13,7,4,2,26,29,55,C
2013,182,Male,Kedah,21,9,7,2,39,37,76,B
2018,183,Female,Johor,17,6,3,4,30,29,59,C
2013,184,Male,Johor,17,4,7,2,30,22,52,C
2012,185,Male,Sabah,19,6,8,5,38,28,66,B
2014,186,Male,Negeri Sembilan,16,7,10,4,37,25,62,B
2018,187,Female,Perlis,19,8,5,4,36,28,64,B
2012,188,Female,Negeri Sembilan,20,7,10,5,42,36,78,B
2017,189,Male,Penang,21,7,9,4,41,24,65,B
2018,190,Male,Negeri Sembilan,20,4,8,3,35,36,71,B
2017,191,Male,Kedah,13,8,8,4,33,37,70,B
2018,192,Female,Pahang,19,10,9,3,41,31,72,B
2018,193,Male,Sarawak,13,5,7,5,30,39,69,B
2016,194,Female,Perak,20,3,9,2,34,39,73,B
2017,195,Male,Pahang,15,6,10,4,35,34,69,B
2015,196,Female,Selangor,21,5,9,1,36,40,76,B
2017,197,Female,Terengganu,20,8,6,1,35,40,75,B
2019,198,Female,Perlis,17,5,9,2,33,24,57,C
2017,199,Female,Kedah,13,3,3,3,22,36,58,C
2016,200,Female,Pahang,18,5,3,3,29,34,63,B
2019,201,Female,Sabah,13,6,4,1,24,32,56,C
2017,202,Female,Terengganu,21,10,5,1,37,36,73,B
2013,203,Male,Malacca,17,7,8,3,35,39,74,B
2014,204,Female,Negeri Sembilan,14,5,7,3,29,39,68,B
2014,205,Female,Negeri Sembilan,19,3,6,3,31,38,69,B
2013,206,Male,Terengganu,20,7,6,4,37,38,75,B
2017,207,Female,Sarawak,19,9,3,3,34,36,70,B
2013,208,Male,Malacca,15,4,9,1,29,31,60,B
2018,209,Female,Perlis,19,3,4,1,27,35,62,B
2016,210,Male,Sarawak,16,10,3,5,34,38,72,B
2013,211,Female,Malacca,15,8,9,4,36,31,67,B
2016,212,Male,Pahang,21,3,4,4,32,28,60,B
2012,213,Female,Terengganu,16,3,4,5,28,23,51,C
2016,214,Male,Johor,15,7,6,2,30,32,62,B
2013,215,Female,Johor,13,3,10,5,31,24,55,C
2015,216,Male,Perlis,21,8,4,5,38,36,74,B
2015,217,Female,Johor,20,5,8,3,36,23,59,C
2013,218,Male,Kelantan,21,10,10,2,43,34,77,B
2015,219,Female,Terengganu,17,7,5,2,31,30,61,B
2016,220,Male,Penang,18,8,10,5,41,25,66,B
2019,221,Male,Selangor,19,7,8,2,36,37,73,B
2019,222,Male,Kelantan,14,9,4,1,28,35,63,B
2014,223,Female,Selangor,20,7,3,2,32,37,69,B
2013,224,Female,Pahang,18,7,10,4,39,22,61,B
2015,225,Male,Sarawak,16,4,10,5,35,24,59,C
2014,226,Female,Johor,16,6,6,4,32,37,69,B
2015,227,Female,Kelantan,21,8,5,3,37,37,74,B
2014,228,Male,Johor,14,9,10,1,34,28,62,B
2015,229,Male,Penang,19,10,6,3,38,39,77,B
2018,230,Male,Selangor,17,7,4,3,31,24,55,C
2018,231,Female,Sarawak,18,8,3,2,31,39,70,B
2014,232,Male,Perlis,14,8,3,4,29,25,54,C
2012,233,Female,Sarawak,19,10,3,1,33,25,58,C
2019,234,Female,Sarawak,18,7,5,1,31,35,66,B
2014,235,Female,Malacca,19,10,7,3,39,23,62,B
2018,236,Female,Johor,18,6,9,1,34,37,71,B
2018,237,Male,Kedah,14,4,4,1,23,30,53,C
2014,238,Female,Malacca,21,9,7,2,39,33,72,B
2016,239,Male,Perak,15,10,7,5,37,36,73,B
2013,240,Male,Terengganu,19,7,3,4,33,27,60,B
2013,241,Male,Sarawak,20,4,8,5,37,36,73,B
2015,242,Female,Johor,17,10,7,1,35,37,72,B
2017,243,Male,Sabah,19,10,7,5,41,34,75,B
2018,244,Male,Perlis,17,7,4,1,29,37,66,B
2012,245,Female,Penang,16,10,9,3,38,32,70,B
2019,246,Male,Sarawak,14,3,6,3,26,23,49,F
2013,247,Female,Perlis,21,4,6,1,32,32,64,B
2016,248,Male,Johor,17,6,6,1,30,22,52,C
2012,249,Male,Johor,17,7,9,3,36,35,71,B
2016,250,Female,Perlis,18,9,3,2,32,30,62,B
2012,251,Male,Johor,20,4,10,4,38,34,72,B
2019,252,Female,Negeri Sembilan,14,5,10,4,33,34,67,B
2017,253,Female,Sabah,20,8,4,3,35,33,68,B
2012,254,Male,Johor,20,9,7,5,41,26,67,B
2019,255,Female,Kelantan,17,8,6,4,35,39,74,B
2013,256,Female,Perlis,19,8,10,4,41,23,64,B
2012,257,Female,Malacca,18,10,5,2,35,39,74,B
2014,258,Female,Pahang,14,5,7,2,28,32,60,B
2018,259,Male,Terengganu,21,7,5,4,37,30,67,B
2014,260,Female,Perlis,13,5,9,2,29,25,54,C
2018,261,Male,Penang,13,8,3,5,29,32,61,B
2015,262,Male,Selangor,15,6,3,3,27,28,55,C
2018,263,Male,Perak,18,7,7,4,36,35,71,B
2013,264,Male,Johor,15,9,5,2,31,28,59,C
2018,265,Male,Sabah,18,4,10,4,36,22,58,C
2016,266,Male,Pahang,19,3,3,4,29,34,63,B
2012,267,Male,Selangor,17,5,9,1,32,40,72,B
2014,268,Male,Sarawak,17,10,4,1,32,34,66,B
2014,269,Male,Kelantan,21,10,4,3,38,26,64,B
2014,270,Female,Kelantan,21,7,5,1,34,36,70,B
2017,271,Male,Malacca,16,5,8,5,34,29,63,B
2019,272,Male,Sabah,16,3,10,2,31,40,71,B
2013,273,Male,Kedah,14,4,5,4,27,38,65,B
2018,274,Female,Johor,16,6,7,5,34,35,69,B
2014,275,Male,Sarawak,14,6,9,2,31,35,66,B
2017,276,Male,Malacca,15,9,9,5,38,39,77,B
2013,277,Male,Perlis,14,9,6,4,33,31,64,B
2013,278,Female,Malacca,20,5,8,3,36,23,59,C
2018,279,Male,Negeri Sembilan,17,6,7,4,34,22,56,C
2018,280,Male,Johor,13,3,6,3,25,29,54,C
2013,281,Female,Terengganu,16,6,6,3,31,32,63,B
2018,282,Male,Johor,20,9,4,2,35,37,72,B
2015,283,Male,Selangor,16,10,10,4,40,33,73,B
2019,284,Male,Pahang,21,9,4,5,39,30,69,B
2015,285,Female,Perak,16,9,7,4,36,40,76,B
2012,286,Male,Sarawak,21,10,7,2,40,31,71,B
2017,287,Female,Penang,20,9,5,5,39,33,72,B
2013,288,Male,Kelantan,15,9,5,5,34,40,74,B
2018,289,Male,Johor,20,10,4,4,38,31,69,B
2019,290,Female,Perlis,21,5,9,1,36,34,70,B
2017,291,Male,Sabah,20,9,6,4,39,28,67,B
2014,292,Male,Kedah,17,5,4,1,27,23,50,C
2014,293,Male,Sarawak,17,7,6,4,34,23,57,C
2012,294,Male,Perak,13,9,7,1,30,39,69,B
2012,295,Male,Perlis,17,8,7,5,37,26,63,B
2019,296,Male,Selangor,13,6,7,3,29,38,67,B
2018,297,Female,Kelantan,14,7,4,1,26,38,64,B
2016,298,Female,Perak,17,5,9,3,34,27,61,B
2019,299,Male,Malacca,13,10,4,2,29,30,59,C
2017,300,Male,Sabah,20,3,6,3,32,35,67,B
2018,301,Female,Pahang,17,4,6,5,32,36,68,B
2015,302,Female,Terengganu,16,10,4,5,35,39,74,B
2013,303,Female,Perak,19,8,7,1,35,22,57,C
2018,304,Female,Malacca,16,10,3,3,32,32,64,B
2017,305,Male,Sabah,20,7,5,2,34,22,56,C
2019,306,Male,Selangor,20,5,8,5,38,31,69,B
2018,307,Male,Negeri Sembilan,20,6,7,4,37,37,74,B
2019,308,Female,Sabah,15,6,10,4,35,33,68,B
2012,309,Male,Kedah,13,5,9,3,30,31,61,B
2013,310,Male,Johor,15,5,6,3,29,32,61,B
2014,311,Male,Sarawak,19,3,8,4,34,33,67,B
2018,312,Male,Perak,16,6,6,4,32,28,60,B
2012,313,Male,Perak,17,8,8,3,36,22,58,C
2016,314,Male,Selangor,16,6,3,2,27,35,62,B
2014,315,Male,Selangor,17,8,4,1,30,26,56,C
2019,316,Male,Perak,14,8,4,1,27,31,58,C
2017,317,Female,Penang,16,7,8,5,36,38,74,B
2015,318,Female,Perlis,16,9,5,4,34,36,70,B
2016,319,Female,Sabah,15,9,6,5,35,30,65,B
2012,320,Female,Kelantan,21,9,3,4,37,30,67,B
2013,321,Male,Johor,17,3,8,5,33,23,56,C
2019,322,Female,Pahang,16,8,9,1,34,24,58,C
2018,323,Male,Perak,14,8,4,1,27,29,56,C
2015,324,Male,Pahang,14,4,9,1,28,28,56,C
2019,325,Male,Penang,18,3,4,1,26,27,53,C
2018,326,Female,Negeri Sembilan,14,4,10,5,33,32,65,B
2016,327,Male,Malacca,14,4,6,5,29,37,66,B
2016,328,Male,Johor,21,6,5,4,36,25,61,B
2013,329,Male,Kelantan,14,8,3,1,26,30,56,C
2016,330,Female,Pahang,17,8,5,5,35,33,68,B
2012,331,Male,Kelantan,21,3,10,1,35,36,71,B
2013,332,Female,Negeri Sembilan,18,6,4,5,33,27,60,B
2015,333,Female,Terengganu,18,3,5,1,27,37,64,B
2017,334,Female,Selangor,13,5,9,2,29,26,55,C
2013,335,Female,Perlis,13,3,3,5,24,29,53,C
2017,336,Female,Penang,18,8,4,2,32,35,67,B
2013,337,Male,Pahang,20,8,5,4,37,32,69,B
2019,338,Male,Johor,20,7,3,2,32,37,69,B
2017,339,Male,Negeri Sembilan,21,6,10,2,39,27,66,B
2018,340,Female,Sabah,16,5,9,4,34,27,61,B
2014,341,Female,Kedah,14,9,5,4,32,34,66,B
2014,342,Male,Kedah,15,6,10,5,36,29,65,B
2014,343,Female,Selangor,19,8,10,4,41,24,65,B
2016,344,Female,Perak,15,3,4,4,26,35,61,B
2014,345,Male,Terengganu,20,7,8,3,38,29,67,B
2017,346,Male,Sarawak,14,7,7,2,30,39,69,B
2019,347,Male,Kedah,14,3,8,5,30,24,54,C
2019,348,Male,Malacca,13,6,4,4,27,25,52,C
2012,349,Male,Perak,17,4,9,1,31,22,53,C
2018,350,Female,Terengganu,14,3,9,4,30,25,55,C
2017,351,Female,Pahang,18,5,10,2,35,28,63,B
2014,352,Female,Malacca,20,9,4,3,36,30,66,B
2014,353,Male,Kedah,20,7,10,3,40,32,72,B
2012,354,Male,Sarawak,14,3,4,5,26,24,50,C
2013,355,Male,Malacca,16,6,7,3,32,32,64,B
2017,356,Female,Johor,21,8,5,4,38,36,74,B
2013,357,Female,Selangor,20,8,9,5,42,33,75,B
2013,358,Male,Sabah,14,8,7,4,33,24,57,C
2013,359,Male,Perak,21,3,6,2,32,34,66,B
2017,360,Female,Pahang,16,8,10,2,36,29,65,B
2017,361,Female,Malacca,19,7,3,3,32,36,68,B
2019,362,Female,Terengganu,13,4,6,3,26,40,66,B
2016,363,Male,Pahang,16,8,4,2,30,31,61,B
2016,364,Male,Malacca,21,5,6,1,33,31,64,B
2013,365,Female,Malacca,18,7,5,1,31,32,63,B
2013,366,Male,Negeri Sembilan,13,9,9,5,36,29,65,B
2019,367,Female,Selangor,19,4,4,3,30,31,61,B
2015,368,Male,Pahang,13,5,3,3,24,32,56,C
2012,369,Male,Kedah,17,5,4,1,27,27,54,C
2014,370,Male,Negeri Sembilan,20,3,3,2,28,37,65,B
2017,371,Male,Perlis,16,10,6,2,34,26,60,B
2019,372,Female,Perak,18,7,10,5,40,25,65,B
2018,373,Male,Johor,15,10,3,1,29,29,58,C
2017,374,Male,Malacca,17,4,3,2,26,28,54,C
2015,375,Male,Terengganu,17,5,5,3,30,39,69,B
2015,376,Male,Terengganu,16,3,6,3,28,39,67,B
2014,377,Male,Johor,21,9,8,4,42,39,81,A
2012,378,Female,Johor,21,8,4,2,35,28,63,B
2015,379,Male,Sarawak,19,7,3,3,32,23,55,C
2016,380,Male,Pahang,16,9,10,1,36,30,66,B
2019,381,Male,Johor,18,6,5,2,31,40,71,B
2014,382,Male,Perlis,18,10,8,2,38,24,62,B
2015,383,Female,Sarawak,14,3,3,2,22,25,47,F
2014,384,Female,Malacca,19,4,9,2,34,25,59,C
2017,385,Male,Sarawak,21,10,7,3,41,39,80,A
2013,386,Female,Sarawak,16,6,10,1,33,22,55,C
2019,387,Female,Negeri Sembilan,18,8,4,1,31,40,71,B
2018,388,Male,Sarawak,15,7,6,4,32,33,65,B
2014,389,Male,Pahang,21,8,10,3,42,31,73,B
2015,390,Male,Johor,13,6,3,4,26,27,53,C
2014,391,Male,Pahang,14,9,3,5,31,34,65,B
2013,392,Female,Kedah,16,10,9,5,40,40,80,A
2019,393,Male,Malacca,16,5,3,3,27,34,61,B
2016,394,Female,Negeri Sembilan,21,8,9,1,39,28,67,B
2013,395,Female,Selangor,20,9,6,3,38,33,71,B
2018,396,Female,Pahang,20,6,6,1,33,22,55,C
2018,397,Male,Sarawak,13,9,9,2,33,36,69,B
2019,398,Male,Perlis,20,4,10,4,38,31,69,B
2016,399,Male,Selangor,21,4,10,5,40,24,64,B
2016,400,Male,Terengganu,14,7,4,2,27,29,56,C
2014,401,Female,Selangor,21,8,8,3,40,35,75,B
2016,402,Male,Perlis,14,7,3,2,26,32,58,C
2017,403,Male,Sabah,18,8,5,1,32,22,54,C
2015,404,Female,Kedah,16,3,6,3,28,23,51,C
2015,405,Male,Johor,16,6,3,2,27,29,56,C
2015,406,Female,Perlis,21,8,3,1,33,38,71,B
2014,407,Male,Selangor,14,9,6,4,33,37,70,B
2012,408,Female,Malacca,17,9,5,3,34,30,64,B
2017,409,Male,Kelantan,17,8,3,4,32,32,64,B
2017,410,Female,Pahang,19,4,3,1,27,27,54,C
2014,411,Female,Perak,16,10,5,3,34,23,57,C
2012,412,Female,Penang,13,4,9,1,27,24,51,C
2012,413,Male,Sabah,17,5,5,1,28,39,67,B
2018,414,Male,Penang,16,7,9,5,37,23,60,B
2017,415,Male,Perak,18,9,9,5,41,40,81,A
2016,416,Male,Selangor,15,7,6,1,29,40,69,B
2015,417,Female,Perak,14,9,10,1,34,37,71,B
2015,418,Female,Sabah,15,6,7,5,33,24,57,C
2014,419,Female,Kelantan,15,3,5,3,26,28,54,C
2018,420,Male,Johor,19,5,3,2,29,35,64,B
2015,421,Female,Johor,17,10,3,1,31,37,68,B
2013,422,Female,Negeri Sembilan,20,3,9,3,35,37,72,B
2017,423,Male,Perak,21,6,9,5,41,40,81,A
2013,424,Female,Penang,19,8,7,5,39,23,62,B
2012,425,Male,Kelantan,15,10,7,2,34,34,68,B
2015,426,Female,Selangor,15,6,8,2,31,33,64,B
2018,427,Male,Pahang,18,10,3,3,34,27,61,B
2012,428,Male,Kelantan,17,7,6,5,35,38,73,B
2015,429,Male,Sabah,15,9,7,3,34,31,65,B
2014,430,Male,Perak,18,6,9,3,36,35,71,B
2019,431,Male,Negeri Sembilan,18,6,3,4,31,34,65,B
2018,432,Female,Malacca,13,8,3,5,29,32,61,B
2012,433,Female,Perlis,18,10,7,1,36,24,60,B
2014,434,Male,Perlis,19,4,10,4,37,30,67,B
2012,435,Female,Selangor,21,9,9,4,43,27,70,B
2013,436,Female,Kedah,21,9,6,4,40,37,77,B
2019,437,Female,Sabah,16,5,8,2,31,39,70,B
2018,438,Female,Kelantan,16,8,3,4,31,22,53,C
2017,439,Male,Selangor,16,9,10,3,38,22,60,B
2015,440,Female,Kedah,17,9,3,4,33,29,62,B
2015,441,Male,Penang,15,6,3,4,28,22,50,C
2018,442,Female,Perlis,17,6,5,3,31,32,63,B
2017,443,Male,Malacca,17,5,8,4,34,23,57,C
2012,444,Female,Selangor,13,10,5,3,31,23,54,C
2018,445,Male,Kelantan,19,5,6,1,31,27,58,C
2014,446,Male,Sarawak,20,3,6,1,30,36,66,B
2016,447,Male,Malacca,17,3,9,4,33,22,55,C
2019,448,Male,Penang,19,3,9,4,35,28,63,B
2015,449,Male,Kelantan,16,9,10,3,38,31,69,B
2017,450,Male,Penang,14,4,5,3,26,34,60,B
2013,451,Male,Terengganu,15,4,3,4,26,24,50,C
2016,452,Male,Johor,14,6,9,5,34,36,70,B
2017,453,Male,Selangor,17,7,10,4,38,25,63,B
2012,454,Male,Kedah,16,6,3,4,29,29,58,C
2014,455,Female,Terengganu,17,9,10,2,38,26,64,B
2018,456,Male,Malacca,21,6,7,2,36,39,75,B
2012,457,Female,Perak,13,3,5,4,25,39,64,B
2012,458,Female,Malacca,19,7,6,3,35,38,73,B
2013,459,Male,Johor,18,4,8,2,32,36,68,B
2015,460,Female,Johor,20,9,3,5,37,31,68,B
2018,461,Male,Johor,21,3,9,1,34,36,70,B
2014,462,Female,Kedah,21,8,6,4,39,34,73,B
2016,463,Male,Selangor,21,5,6,1,33,35,68,B
2019,464,Male,Johor,19,10,7,5,41,28,69,B
2016,465,Male,Malacca,18,9,7,1,35,30,65,B
2012,466,Male,Kedah,15,3,5,3,26,30,56,C
2016,467,Female,Pahang,14,9,4,2,29,31,60,B
2015,468,Male,Sabah,14,3,5,5,27,24,51,C
2017,469,Female,Kelantan,21,7,10,1,39,40,79,A
2015,470,Male,Kelantan,21,5,3,4,33,28,61,B
2014,471,Female,Perlis,13,8,7,5,33,31,64,B
2016,472,Female,Sarawak,13,7,9,5,34,28,62,B
2018,473,Female,Perlis,13,5,6,3,27,35,62,B
